# Distance(Angstrom) Energy(eV)
0.2891522613838655 -17.2382389185999
0.3891142611925234 -25.7361257193958
0.4890917973789821 -29.4584322832397
0.5890769595421326 -31.0759207670252
0.6890664280484163 -31.6634096194725
0.7890585658006655 -31.7181404280839
0.8890524721653966 -31.4919568034898
0.9890476107161894 -31.1204887010697
1.0890436420380054 -30.6799527468053
1.18904034088983 -30.2143458609499
1.2890375519213562 -29.7493808985513
1.3890351645165082 -29.3000267717481
1.489033097772982 -28.874751744163
1.5890312911530102 -28.4780043489032
1.6890296984551227 -28.1117118710445
1.7890282838075544 -27.7761946691882
1.8890270189341927 -27.4707807302733
1.9890258812452397 -27.1941834502593
2.0890248524762463 -26.9447198560444
2.1890239177001707 -26.7205367350302
2.2890230645983896 -26.5196866823604
2.3890222829147914 -26.3402149434783
2.4890215640414612 -26.1802390267343
2.5890209007003793 -26.0379391211323
2.7890197167218815 -25.7997204619082
2.9890186911866916 -25.6133784939526
3.1890177942845357 -25.4682836619745
3.3890170032420026 -25.3552122379063
3.5890163003618976 -25.2672460051839
3.989015106046028 -25.1455918454458
4.389014129421709 -25.070392715095
4.789013315941333 -25.0308182897274
5.38901232214804 -25.0104489383237
5.789011774065019 -25.0067869815448
